user_id	order_number	order_size	products
1	1	5	AgedWhiteCheddarPopcorn,OrganicUnsweetenedVanillaAlmondMilk,OriginalBeefJerky,Soda,XLPick-A-SizePaperTowelRolls
1	2	6	AgedWhiteCheddarPopcorn,BagofOrganicBananas,CinnamonToastCrunch,OriginalBeefJerky,Pistachios,Soda
1	3	5	CreamyAlmondButter,OrganicStringCheese,OriginalBeefJerky,Pistachios,Soda
1	4	5	OrganicStringCheese,OriginalBeefJerky,Pistachios,Soda,XLPick-A-SizePaperTowelRolls
1	5	8	BagofOrganicBananas,BartlettPears,HoneycrispApples,OrganicFujiApples,OrganicStringCheese,OriginalBeefJerky,Pistachios,Soda
1	6	4	OrganicStringCheese,OriginalBeefJerky,Pistachios,Soda
1	7	5	CinnamonToastCrunch,OrganicStringCheese,OriginalBeefJerky,Pistachios,Soda
1	8	6	OrganicHalf&Half,OrganicStringCheese,OriginalBeefJerky,Pistachios,Soda,ZeroCalorieCola
1	9	6	OrganicHalf&Half,OrganicStringCheese,OriginalBeefJerky,Pistachios,Soda,ZeroCalorieCola
1	10	9	0%GreekStrainedYogurt,CinnamonToastCrunch,MilkChocolateAlmonds,OrganicStringCheese,OrganicUnsweetenedAlmondMilk,OriginalBeefJerky,Pistachios,Soda,ZeroCalorieCola
